_time,sender,subject,attachments,recipients,recipients_email_domain,leaver,termination_date,time_month,account_type,wordlist_attachment,wordlist_subject,bunit,department,status,user_response,final_outcome,policy_name,justification
2025-07-06T15:48:36,alice@company.com,Confidential Proposal,cv.pdf,dave@external.com,external.com,NO,202512,202507,contractor,salary,salary,Finance,Recruitment,Critical,c,g,policy_A,home
2025-06-20T16:50:48,bob@company.com,Project Update,org.pdf,dave@external.com,external.com,YES,202510,202507,contractor,salary,salary,HR,Accounting,Low,a,g,policy_C,school work 
2025-06-12T10:57:33,alice@company.com,Resignation Letter,cv.pdf,erin@partner.org,partner.org,NO,202508,202507,intern,confidential,confidential,HR,Recruitment,Critical,b,f,policy_A,home
2025-06-23T23:19:49,alice@company.com,Confidential Proposal,cv.pdf,john@vendor.org,vendor.org,NO,202511,202507,contractor,confidential,,Engineering,Accounting,High,a,f,policy_A,school work 
2025-07-01T03:14:46,carol@company.com,Resignation Letter,,john@vendor.org,vendor.org,YES,202512,202507,contractor,confidential,confidential,HR,Development,High,b,g,policy_A,home
2025-07-06T01:46:00,dave@company.com,Project Update,,erin@partner.org,partner.org,YES,202508,202507,intern,salary,confidential,HR,Recruitment,Medium,b,g,policy_C,school work 
2025-07-18T05:53:07,dave@company.com,Project Update,,erin@partner.org,partner.org,NO,202512,202507,intern,,salary,Engineering,Development,High,c,f,policy_A,home
2025-06-22T13:12:47,carol@company.com,Resignation Letter,cv.pdf,sara@client.com,client.com,NO,202508,202507,intern,confidential,salary,Engineering,Development,Medium,c,f,Ploicy_B,school work 
2025-06-16T10:13:04,bob@company.com,Confidential Proposal,home.pdf,john@vendor.org,vendor.org,NO,202507,202507,intern,,,HR,Accounting,Medium,b,f,Ploicy_B,home
2025-07-12T19:36:01,alice@company.com,Resignation Letter,contract.pdf,sara@client.com,client.com,YES,202507,202507,intern,,confidential,Finance,Accounting,Medium,a,f,policy_A,school work 
2025-07-06T00:16:27,carol@company.com,Confidential Proposal,,erin@partner.org,partner.org,YES,202512,202507,intern,,salary,HR,Recruitment,Low,a,h,policy_A,home
2025-07-30T21:02:57,bob@company.com,Confidential Proposal,report.pdf,dave@external.com,external.com,NO,202509,202507,intern,salary,,HR,Accounting,High,c,f,Ploicy_B,school work 
2025-06-02T02:57:04,alice@company.com,Resignation Letter,report.pdf,john@vendor.org,vendor.org,NO,202508,202507,contractor,,,Finance,Development,Critical,b,h,Ploicy_B,home
2025-07-26T08:23:04,carol@company.com,Quarterly Report,,john@vendor.org,vendor.org,NO,202510,202507,intern,salary,,HR,Development,Medium,c,f,Ploicy_B,school work 
2025-06-15T02:43:52,dave@company.com,Confidential Proposal,home.pdf,erin@partner.org,partner.org,NO,202507,202507,contractor,,salary,Engineering,Development,Low,a,g,policy_C,home
2025-07-12T07:20:31,carol@company.com,Quarterly Report,cv.pdf,john@vendor.org,vendor.org,NO,202511,202507,contractor,,confidential,HR,Accounting,High,b,f,Ploicy_B,school work 
2025-07-09T15:40:23,alice@company.com,Confidential Proposal,report.pdf,sara@client.com,client.com,YES,202509,202507,intern,confidential,,Finance,Development,Critical,a,h,policy_C,home
2025-06-23T08:48:08,carol@company.com,Project Update,report.pdf,erin@partner.org,partner.org,NO,202510,202507,contractor,confidential,salary,Engineering,Recruitment,Critical,b,f,policy_C,school work 
2025-06-26T18:59:19,dave@company.com,Project Update,home.pdf,sara@client.com,client.com,YES,202508,202507,employee,salary,salary,HR,Development,Medium,c,g,Ploicy_B,home
2025-07-06T02:31:56,alice@company.com,Project Update,,dave@external.com,external.com,NO,202509,202507,contractor,,salary,Engineering,Accounting,Low,c,g,Ploicy_B,school work 
2025-07-04T08:54:41,bob@company.com,Resignation Letter,org.pdf,sara@client.com,client.com,YES,202512,202507,contractor,confidential,salary,Engineering,Recruitment,High,a,h,Ploicy_B,home
2025-06-15T07:21:13,bob@company.com,Quarterly Report,home.pdf,erin@partner.org,partner.org,YES,202507,202507,contractor,confidential,confidential,Finance,Recruitment,Critical,b,g,policy_A,school work 
2025-06-11T06:58:00,dave@company.com,Resignation Letter,contract.pdf,john@vendor.org,vendor.org,YES,202508,202507,intern,,,Engineering,Accounting,Medium,a,h,policy_C,home
2025-07-14T12:56:43,bob@company.com,Project Update,home.pdf,sara@client.com,client.com,YES,202507,202507,employee,confidential,,Finance,Development,Critical,a,f,Ploicy_B,school work 
2025-07-24T07:52:28,bob@company.com,Project Update,cv.pdf,john@vendor.org,vendor.org,YES,202510,202507,employee,confidential,confidential,HR,Accounting,Critical,a,g,Ploicy_B,home
2025-07-11T01:04:50,dave@company.com,Project Update,contract.pdf,john@vendor.org,vendor.org,YES,202511,202507,employee,salary,confidential,HR,Recruitment,Critical,c,g,policy_A,school work 
2025-06-14T17:35:43,alice@company.com,Quarterly Report,home.pdf,erin@partner.org,partner.org,YES,202511,202507,employee,confidential,confidential,Finance,Accounting,High,b,g,policy_C,home
2025-06-01T10:02:20,alice@company.com,Resignation Letter,,erin@partner.org,partner.org,NO,202512,202507,contractor,,confidential,HR,Accounting,Low,b,g,Ploicy_B,school work 
2025-07-13T18:59:45,bob@company.com,Project Update,,dave@external.com,external.com,YES,202511,202507,intern,,salary,HR,Recruitment,Critical,c,f,policy_A,home
2025-06-07T09:08:22,bob@company.com,Confidential Proposal,home.pdf,sara@client.com,client.com,NO,202509,202507,intern,,salary,Engineering,Accounting,Low,c,g,policy_C,school work 
2025-06-10T21:08:39,alice@company.com,Quarterly Report,contract.pdf,dave@external.com,external.com,YES,202511,202507,contractor,,,Finance,Development,High,b,g,policy_A,home
2025-06-03T04:43:58,alice@company.com,Confidential Proposal,contract.pdf,sara@client.com,client.com,NO,202512,202507,employee,confidential,confidential,Engineering,Recruitment,Medium,a,f,policy_A,school work 
2025-06-24T05:32:02,bob@company.com,Confidential Proposal,contract.pdf,john@vendor.org,vendor.org,YES,202507,202507,intern,,,HR,Recruitment,Medium,c,f,Ploicy_B,home
2025-06-10T15:08:03,dave@company.com,Resignation Letter,,sara@client.com,client.com,YES,202512,202507,intern,,,HR,Accounting,Medium,b,h,Ploicy_B,school work 
2025-07-02T06:30:53,bob@company.com,Quarterly Report,contract.pdf,sara@client.com,client.com,YES,202508,202507,contractor,salary,salary,HR,Recruitment,High,b,h,policy_C,home
2025-07-25T14:51:10,carol@company.com,Resignation Letter,report.pdf,john@vendor.org,vendor.org,NO,202512,202507,employee,confidential,salary,HR,Recruitment,Low,a,g,Ploicy_B,school work 
2025-06-18T02:40:39,alice@company.com,Project Update,,john@vendor.org,vendor.org,NO,202508,202507,employee,,,Finance,Accounting,Critical,b,f,policy_A,home
2025-06-15T21:33:36,bob@company.com,Confidential Proposal,org.pdf,erin@partner.org,partner.org,NO,202512,202507,contractor,,,Finance,Development,Low,b,g,policy_A,school work 
2025-06-04T19:16:32,alice@company.com,Resignation Letter,contract.pdf,erin@partner.org,partner.org,NO,202512,202507,contractor,confidential,,HR,Development,Critical,b,f,policy_A,home
2025-06-20T07:12:22,bob@company.com,Confidential Proposal,home.pdf,john@vendor.org,vendor.org,NO,202512,202507,employee,,salary,Engineering,Development,High,b,f,policy_C,school work 
2025-06-10T17:23:22,alice@company.com,Quarterly Report,contract.pdf,john@vendor.org,vendor.org,NO,202512,202507,employee,confidential,confidential,HR,Recruitment,Medium,a,g,policy_C,home
2025-06-26T18:56:21,dave@company.com,Confidential Proposal,cv.pdf,john@vendor.org,vendor.org,YES,202509,202507,contractor,,,Finance,Accounting,Medium,c,f,policy_C,school work 
2025-06-21T21:45:54,alice@company.com,Quarterly Report,report.pdf,sara@client.com,client.com,NO,202508,202507,intern,confidential,,Engineering,Development,Critical,c,f,Ploicy_B,home
2025-06-08T09:35:34,bob@company.com,Resignation Letter,report.pdf,dave@external.com,external.com,NO,202510,202507,contractor,salary,,Engineering,Recruitment,Low,b,f,Ploicy_B,school work 
2025-07-02T14:29:48,alice@company.com,Project Update,report.pdf,john@vendor.org,vendor.org,YES,202510,202507,intern,salary,salary,Finance,Development,Medium,b,h,Ploicy_B,home
2025-07-02T18:34:59,bob@company.com,Resignation Letter,contract.pdf,erin@partner.org,partner.org,NO,202508,202507,intern,salary,,HR,Recruitment,High,c,f,Ploicy_B,school work 
2025-07-14T17:50:27,alice@company.com,Confidential Proposal,org.pdf,erin@partner.org,partner.org,YES,202508,202507,intern,salary,salary,Finance,Accounting,Medium,a,f,policy_A,home
2025-07-16T13:47:25,dave@company.com,Quarterly Report,cv.pdf,sara@client.com,client.com,YES,202512,202507,contractor,salary,salary,Finance,Accounting,Critical,c,f,policy_A,school work 
2025-06-17T23:08:35,dave@company.com,Confidential Proposal,contract.pdf,erin@partner.org,partner.org,NO,202511,202507,employee,,,HR,Accounting,High,a,g,policy_C,home
2025-06-25T05:12:39,carol@company.com,Quarterly Report,org.pdf,john@vendor.org,vendor.org,NO,202507,202507,employee,confidential,,Engineering,Recruitment,Medium,b,g,policy_C,school work 
2025-07-27T22:54:48,alice@company.com,Resignation Letter,cv.pdf,dave@external.com,external.com,YES,202508,202507,contractor,confidential,confidential,Engineering,Development,Critical,b,h,policy_A,home
2025-06-13T00:56:15,alice@company.com,Quarterly Report,home.pdf,dave@external.com,external.com,NO,202509,202507,employee,,confidential,Engineering,Recruitment,Low,a,h,policy_C,school work 
2025-06-21T08:41:59,carol@company.com,Resignation Letter,org.pdf,sara@client.com,client.com,NO,202511,202507,contractor,salary,,HR,Recruitment,Critical,b,f,Ploicy_B,home
2025-07-26T17:10:46,alice@company.com,Project Update,cv.pdf,dave@external.com,external.com,YES,202510,202507,contractor,confidential,confidential,Engineering,Recruitment,Medium,b,f,policy_C,school work 
2025-07-16T12:24:23,alice@company.com,Project Update,,sara@client.com,client.com,NO,202507,202507,contractor,salary,,Finance,Accounting,Critical,b,f,policy_C,home
2025-07-17T21:17:53,bob@company.com,Quarterly Report,cv.pdf,erin@partner.org,partner.org,YES,202507,202507,employee,salary,confidential,Engineering,Recruitment,Critical,c,h,policy_A,school work 
2025-07-24T02:54:58,dave@company.com,Project Update,,erin@partner.org,partner.org,YES,202512,202507,contractor,,confidential,Finance,Recruitment,Low,b,f,Ploicy_B,home
2025-07-20T08:20:19,bob@company.com,Resignation Letter,org.pdf,erin@partner.org,partner.org,YES,202510,202507,contractor,,,HR,Accounting,High,b,g,policy_A,school work 
2025-06-04T15:52:01,alice@company.com,Quarterly Report,,erin@partner.org,partner.org,NO,202511,202507,employee,confidential,salary,Finance,Recruitment,Medium,c,g,Ploicy_B,home
2025-06-27T21:25:30,bob@company.com,Quarterly Report,org.pdf,sara@client.com,client.com,NO,202507,202507,employee,,confidential,HR,Accounting,High,b,h,policy_C,school work 
2025-06-08T11:18:32,alice@company.com,Resignation Letter,contract.pdf,john@vendor.org,vendor.org,NO,202509,202507,contractor,,salary,Engineering,Development,High,b,g,Ploicy_B,home
2025-07-12T13:59:08,carol@company.com,Quarterly Report,org.pdf,john@vendor.org,vendor.org,YES,202512,202507,intern,,,HR,Accounting,Low,b,g,policy_C,school work 
2025-06-20T20:42:21,carol@company.com,Confidential Proposal,contract.pdf,sara@client.com,client.com,NO,202511,202507,contractor,confidential,,Engineering,Development,Low,b,f,policy_A,home
2025-07-26T10:23:29,alice@company.com,Resignation Letter,,erin@partner.org,partner.org,NO,202512,202507,contractor,salary,confidential,Finance,Recruitment,Critical,b,f,policy_C,school work 
2025-07-09T20:17:14,carol@company.com,Quarterly Report,report.pdf,john@vendor.org,vendor.org,NO,202509,202507,employee,salary,salary,HR,Recruitment,Low,b,g,Ploicy_B,home
2025-07-01T15:33:17,bob@company.com,Resignation Letter,home.pdf,john@vendor.org,vendor.org,NO,202510,202507,intern,confidential,,HR,Development,Critical,a,h,policy_C,school work 
2025-07-12T04:40:53,alice@company.com,Project Update,report.pdf,john@vendor.org,vendor.org,YES,202510,202507,contractor,,,Engineering,Development,Low,a,h,Ploicy_B,home
2025-07-16T07:41:42,dave@company.com,Resignation Letter,cv.pdf,erin@partner.org,partner.org,YES,202509,202507,contractor,,confidential,HR,Accounting,Critical,a,h,policy_A,school work 
2025-06-20T23:01:55,bob@company.com,Resignation Letter,home.pdf,sara@client.com,client.com,YES,202510,202507,employee,,salary,HR,Recruitment,High,b,f,Ploicy_B,home
2025-06-14T11:38:57,alice@company.com,Quarterly Report,cv.pdf,erin@partner.org,partner.org,YES,202512,202507,intern,confidential,,HR,Development,Critical,c,f,Ploicy_B,school work 
2025-06-30T22:06:01,carol@company.com,Project Update,contract.pdf,sara@client.com,client.com,NO,202509,202507,contractor,salary,,HR,Recruitment,Low,c,h,policy_A,home
2025-07-30T23:30:32,carol@company.com,Confidential Proposal,cv.pdf,john@vendor.org,vendor.org,YES,202510,202507,intern,confidential,confidential,HR,Development,Medium,c,g,policy_C,school work 
2025-07-22T01:03:52,alice@company.com,Resignation Letter,contract.pdf,erin@partner.org,partner.org,NO,202507,202507,contractor,confidential,confidential,Finance,Recruitment,Critical,c,h,Ploicy_B,home
2025-06-30T22:45:38,alice@company.com,Resignation Letter,,erin@partner.org,partner.org,NO,202508,202507,contractor,confidential,,Finance,Accounting,Medium,a,f,policy_A,school work 
2025-06-20T01:38:21,bob@company.com,Confidential Proposal,cv.pdf,dave@external.com,external.com,NO,202510,202507,contractor,confidential,confidential,Engineering,Accounting,High,b,h,policy_A,home
2025-06-24T04:18:00,alice@company.com,Confidential Proposal,cv.pdf,dave@external.com,external.com,YES,202509,202507,intern,,salary,Engineering,Recruitment,Medium,b,g,policy_C,school work 
2025-06-20T09:09:52,dave@company.com,Resignation Letter,org.pdf,erin@partner.org,partner.org,YES,202511,202507,contractor,salary,salary,Engineering,Recruitment,Low,b,g,Ploicy_B,home
2025-06-20T20:18:05,carol@company.com,Confidential Proposal,org.pdf,erin@partner.org,partner.org,NO,202509,202507,contractor,salary,salary,Engineering,Development,High,b,g,Ploicy_B,school work 
2025-07-15T10:33:10,bob@company.com,Quarterly Report,org.pdf,sara@client.com,client.com,NO,202512,202507,employee,confidential,confidential,Engineering,Accounting,Medium,c,f,policy_A,home
2025-07-26T04:24:34,bob@company.com,Quarterly Report,contract.pdf,sara@client.com,client.com,NO,202510,202507,employee,salary,salary,Engineering,Development,High,b,f,policy_C,school work 
2025-07-13T17:16:15,bob@company.com,Confidential Proposal,contract.pdf,sara@client.com,client.com,NO,202507,202507,intern,,salary,Finance,Development,Low,b,g,Ploicy_B,home
2025-07-17T09:02:46,bob@company.com,Resignation Letter,org.pdf,erin@partner.org,partner.org,YES,202508,202507,employee,confidential,confidential,HR,Accounting,High,a,f,policy_C,school work 
2025-07-01T10:52:18,bob@company.com,Project Update,contract.pdf,john@vendor.org,vendor.org,NO,202512,202507,intern,,salary,Engineering,Accounting,Medium,a,g,Ploicy_B,home
2025-07-02T19:35:51,bob@company.com,Project Update,cv.pdf,john@vendor.org,vendor.org,YES,202512,202507,contractor,,confidential,Finance,Development,Critical,b,f,policy_A,school work 
2025-06-02T19:59:13,dave@company.com,Confidential Proposal,org.pdf,dave@external.com,external.com,NO,202512,202507,intern,,,HR,Accounting,Medium,c,h,policy_C,home
2025-07-22T09:32:10,alice@company.com,Quarterly Report,org.pdf,john@vendor.org,vendor.org,YES,202509,202507,employee,salary,confidential,Finance,Accounting,Medium,b,f,policy_C,school work 
2025-07-15T06:25:04,dave@company.com,Resignation Letter,report.pdf,erin@partner.org,partner.org,NO,202509,202507,employee,,salary,HR,Recruitment,High,a,f,policy_C,home
2025-07-17T10:52:20,bob@company.com,Project Update,contract.pdf,sara@client.com,client.com,NO,202510,202507,employee,,confidential,HR,Recruitment,High,b,g,Ploicy_B,school work 
2025-07-01T06:44:44,dave@company.com,Quarterly Report,org.pdf,dave@external.com,external.com,NO,202511,202507,employee,,,Finance,Development,Critical,a,g,policy_A,home
2025-07-25T09:50:57,alice@company.com,Confidential Proposal,,erin@partner.org,partner.org,YES,202511,202507,employee,confidential,,HR,Development,Low,a,h,Ploicy_B,school work 
2025-07-09T11:27:26,dave@company.com,Confidential Proposal,report.pdf,dave@external.com,external.com,NO,202509,202507,contractor,salary,salary,Finance,Recruitment,Low,b,h,policy_A,home
2025-07-27T15:08:32,bob@company.com,Confidential Proposal,org.pdf,john@vendor.org,vendor.org,NO,202512,202507,employee,,,HR,Development,High,a,g,policy_C,school work 
2025-06-24T19:12:33,dave@company.com,Confidential Proposal,cv.pdf,sara@client.com,client.com,NO,202508,202507,intern,salary,,Engineering,Recruitment,Critical,a,f,Ploicy_B,home
2025-06-26T09:26:41,bob@company.com,Project Update,,sara@client.com,client.com,NO,202512,202507,intern,salary,salary,Engineering,Recruitment,Medium,a,g,policy_A,school work 
2025-07-04T10:16:19,dave@company.com,Confidential Proposal,,sara@client.com,client.com,NO,202509,202507,contractor,,salary,Finance,Recruitment,High,a,f,policy_A,home
2025-06-15T23:04:19,bob@company.com,Resignation Letter,report.pdf,dave@external.com,external.com,NO,202509,202507,employee,,confidential,Engineering,Accounting,Medium,a,h,Ploicy_B,school work 
2025-06-20T08:10:54,alice@company.com,Confidential Proposal,report.pdf,erin@partner.org,partner.org,YES,202510,202507,intern,salary,salary,Engineering,Accounting,Low,c,g,Ploicy_B,home
2025-07-10T17:23:59,bob@company.com,Resignation Letter,,sara@client.com,client.com,YES,202507,202507,intern,,,Finance,Accounting,Low,b,f,policy_C,school work 
2025-07-20T06:15:35,dave@company.com,Confidential Proposal,,john@vendor.org,vendor.org,YES,202512,202507,employee,,confidential,Engineering,Recruitment,Medium,c,h,policy_C,home
2025-07-30T06:37:15,dave@company.com,Confidential Proposal,contract.pdf,erin@partner.org,partner.org,NO,202508,202507,intern,confidential,confidential,Engineering,Accounting,Low,a,g,Ploicy_B,school work 
2025-07-18T01:29:50,alice@company.com,Confidential Proposal,home.pdf,john@vendor.org,vendor.org,YES,202511,202507,employee,salary,confidential,Finance,Accounting,High,a,h,Ploicy_B,home
2025-07-06T12:54:25,carol@company.com,Quarterly Report,org.pdf,dave@external.com,external.com,YES,202510,202507,employee,confidential,,Engineering,Recruitment,Medium,a,h,policy_C,school work 
2025-07-09T20:27:50,alice@company.com,Quarterly Report,report.pdf,erin@partner.org,partner.org,NO,202511,202507,intern,,,Engineering,Accounting,Critical,b,g,Ploicy_B,home
2025-06-15T12:36:11,dave@company.com,Project Update,,sara@client.com,client.com,YES,202510,202507,contractor,,confidential,Finance,Development,Medium,b,h,policy_C,school work 
2025-07-27T02:34:21,dave@company.com,Project Update,org.pdf,erin@partner.org,partner.org,NO,202507,202507,intern,confidential,,HR,Recruitment,Low,b,f,policy_C,home
2025-06-28T17:29:41,dave@company.com,Confidential Proposal,report.pdf,dave@external.com,external.com,YES,202512,202507,contractor,confidential,salary,Engineering,Development,High,b,h,policy_A,school work 
2025-07-27T08:44:05,alice@company.com,Confidential Proposal,org.pdf,erin@partner.org,partner.org,NO,202510,202507,contractor,,confidential,Finance,Accounting,Medium,b,h,Ploicy_B,home
2025-07-17T23:13:17,bob@company.com,Project Update,cv.pdf,sara@client.com,client.com,YES,202508,202507,employee,confidential,confidential,HR,Recruitment,High,c,f,Ploicy_B,school work 
2025-07-10T06:49:12,alice@company.com,Confidential Proposal,cv.pdf,dave@external.com,external.com,YES,202507,202507,intern,salary,salary,Finance,Recruitment,Critical,c,h,Ploicy_B,home
2025-06-26T02:56:28,dave@company.com,Project Update,cv.pdf,sara@client.com,client.com,NO,202511,202507,employee,salary,,HR,Development,Critical,c,g,policy_C,school work 
2025-06-06T23:12:30,carol@company.com,Quarterly Report,,john@vendor.org,vendor.org,NO,202508,202507,employee,,salary,HR,Recruitment,High,b,g,policy_C,home
2025-07-26T13:27:00,dave@company.com,Resignation Letter,,john@vendor.org,vendor.org,YES,202512,202507,employee,,salary,Engineering,Recruitment,Low,b,g,Ploicy_B,school work 
2025-07-06T07:40:00,bob@company.com,Resignation Letter,cv.pdf,john@vendor.org,vendor.org,NO,202511,202507,employee,,,Finance,Development,Medium,c,g,Ploicy_B,home
2025-06-17T04:50:26,alice@company.com,Quarterly Report,,erin@partner.org,partner.org,YES,202508,202507,intern,confidential,salary,Finance,Development,Critical,a,h,Ploicy_B,school work 
2025-07-16T12:05:46,bob@company.com,Confidential Proposal,contract.pdf,erin@partner.org,partner.org,YES,202510,202507,contractor,salary,confidential,HR,Accounting,Medium,c,h,policy_A,home
2025-07-02T02:59:41,carol@company.com,Quarterly Report,report.pdf,dave@external.com,external.com,YES,202509,202507,employee,confidential,confidential,HR,Recruitment,Medium,a,g,Ploicy_B,school work 
2025-07-07T11:30:26,alice@company.com,Quarterly Report,report.pdf,dave@external.com,external.com,NO,202509,202507,intern,confidential,,Engineering,Accounting,Critical,b,f,policy_C,home
